                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.62186,                0.66133,                0.99078,                  1.012,                0.82053,                0.73684,                0.74108,                0.59452,                0.77943,                 0.7443,                0.68936,                  0.183,                 1.0881,                0.50531,                 1.7336,                 2.0597,               0.001208,               0.001208,               0.001208
                     23,                0.74362,                0.65175,                 1.0457,                 1.0417,                0.87214,                0.71879,                0.77527,                0.58208,                0.78827,                0.78407,                0.71861,                0.19113,                 1.1929,                0.49697,                 1.8416,                 2.0908,              0.0011684,              0.0011684,              0.0011684
                     24,                0.64571,                 0.6017,                 1.0933,                 1.1111,                0.77802,                0.84211,                0.77706,                0.54511,                0.75564,                0.73684,                   0.68,                0.17132,                 1.0242,                0.47958,                  1.937,                 1.8032,              0.0011288,              0.0011288,              0.0011288
                     25,                0.57734,                0.60418,                0.97061,                0.99951,                0.83144,                0.84211,                0.83992,                0.60657,                 0.7755,                0.78947,                0.77164,                0.17854,                 1.0217,                0.44575,                 1.9609,                 1.5865,              0.0010892,              0.0010892,              0.0010892
                     26,                0.76362,                0.68534,                  1.183,                 1.0872,                0.81434,                0.78947,                0.83234,                0.64871,                 0.7905,                0.84211,                0.76037,                0.19345,                0.78579,                0.42953,                 1.6437,                 1.3022,              0.0010496,              0.0010496,              0.0010496
                     27,                0.55886,                0.62751,                 1.0662,                0.99157,                0.86611,                0.78947,                0.84583,                0.61207,                0.69096,                0.63158,                0.62883,                0.15423,                0.82416,                0.40874,                 1.7326,                 1.3577,                0.00101,                0.00101,                0.00101
                     28,                0.60301,                0.67473,                0.90158,                 1.0293,                0.86627,                0.73684,                0.78961,                0.60068,                0.92814,                0.78947,                 0.8263,                0.22256,                0.81738,                0.38411,                 1.4929,                 1.6244,              0.0009704,              0.0009704,              0.0009704
                     29,                0.59451,                0.59884,                0.93508,                 1.0197,                0.85095,                0.73684,                0.79204,                0.64868,                      1,                 0.9419,                0.94751,                0.32672,                0.66298,                0.35963,                  1.523,                 1.3247,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.6178,                 0.6589,                0.93536,                 1.0179,                0.78088,                0.78947,                0.79534,                0.67227,                0.94411,                 0.8893,                0.87939,                 0.3235,                0.70698,                0.32926,                 1.5153,                 1.3995,              0.0008912,              0.0008912,              0.0008912
                     31,                0.57787,                0.65118,                0.88789,                0.98101,                0.83301,                0.78773,                0.80749,                0.64276,                0.88863,                0.84001,                0.78197,                0.26118,                0.67785,                0.32496,                 1.5749,                 1.4078,              0.0008516,              0.0008516,              0.0008516
                     32,                0.52761,                0.72265,                 0.7874,                 1.0334,                 0.8494,                0.89073,                0.91019,                0.70065,                 0.8833,                0.89474,                0.85996,                0.24637,                0.68166,                0.34065,                 1.6327,                  1.404,               0.000812,               0.000812,               0.000812
                     33,                0.71251,                0.56269,                  1.082,                 1.0427,                0.78674,                0.77718,                0.83751,                0.66315,                0.89331,                0.88185,                0.93369,                0.29561,                0.70527,                0.32725,                 1.9612,                 1.3865,              0.0007724,              0.0007724,              0.0007724
                     34,                0.56362,                0.62131,                 0.7955,                0.98636,                0.63961,                0.78947,                0.73894,                0.59414,                0.68225,                0.84211,                0.81194,                0.26322,                0.69919,                0.33799,                 2.3666,                 1.3109,              0.0007328,              0.0007328,              0.0007328
                     35,                0.65975,                0.77019,                0.93395,                0.96879,                0.64769,                0.78947,                0.79067,                0.54221,                0.63801,                0.84211,                 0.6671,                0.21149,                0.68882,                 0.3316,                 2.5464,                   1.25,              0.0006932,              0.0006932,              0.0006932
                     36,                 0.5684,                0.62471,                0.80027,                 1.0012,                0.82801,                0.78947,                0.81483,                0.72615,                0.93841,                0.89474,                0.89864,                0.38687,                 0.5743,                0.31372,                  1.508,                 1.2213,              0.0006536,              0.0006536,              0.0006536
                     37,                0.53463,                0.48704,                0.71832,                0.96316,                0.83055,                0.78947,                 0.8197,                0.73104,                0.99672,                0.94737,                 0.9482,                0.42088,                0.57586,                0.31457,                 1.2973,                 1.1866,               0.000614,               0.000614,               0.000614
                     38,                0.50752,                0.56974,                0.74786,                0.97765,                0.83036,                0.78947,                0.84783,                0.75206,                0.99643,                0.94737,                0.95266,                0.42561,                0.55116,                0.31764,                 1.2429,                 1.1476,              0.0005744,              0.0005744,              0.0005744
                     39,                0.48264,                 0.5261,                0.69821,                0.95465,                0.87871,                0.76339,                0.90496,                0.78116,                      1,                  0.886,                0.94726,                0.41668,                0.52321,                0.32715,                 1.1771,                  1.119,              0.0005348,              0.0005348,              0.0005348
                     40,                0.53191,                0.63893,                0.73119,                0.97323,                0.93677,                0.78021,                0.91908,                0.80238,                      1,                0.86163,                0.96806,                0.38938,                0.51715,                0.34961,                  1.176,                 1.0785,              0.0004952,              0.0004952,              0.0004952
                     41,                0.67735,                0.33426,                  1.705,                 1.2435,                0.93646,                0.77632,                0.89919,                0.79848,                0.85531,                0.93384,                0.91452,                0.37916,                0.48385,                0.34829,                 1.2032,                 1.0661,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.4285,                0.34409,                 1.0728,                 1.0453,                0.99145,                0.78947,                0.92826,                0.82626,                0.89866,                0.93396,                0.97853,                0.39271,                0.49656,                0.34832,                 1.1549,                 1.0558,               0.000416,               0.000416,               0.000416
                     43,                0.39846,                0.34964,                0.98293,                0.96127,                0.98532,                0.78947,                0.90614,                0.81804,                0.98688,                0.89474,                0.97519,                0.38794,                0.46937,                0.34432,                  1.194,                 1.0406,              0.0003764,              0.0003764,              0.0003764
                     44,                0.38051,                0.28148,                0.93315,                  1.017,                0.92442,                0.78947,                0.88193,                 0.8193,                0.99849,                0.89474,                0.96029,                0.40102,                0.50005,                0.33092,                 1.2961,                 1.0742,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.3945,                0.28801,                0.93069,                 1.0064,                 0.9225,                0.78947,                0.87412,                 0.8215,                 0.9962,                0.89474,                0.97116,                 0.4133,                0.50503,                0.31648,                  1.267,                 1.0706,              0.0002972,              0.0002972,              0.0002972
                     46,                0.33342,                0.27605,                0.90222,                0.90081,                0.88813,                0.83599,                0.89515,                0.81791,                      1,                0.94126,                0.97379,                0.42957,                0.50128,                0.30587,                 1.2226,                 1.0628,              0.0002576,              0.0002576,              0.0002576
                     47,                0.32698,                0.33685,                0.86933,                0.86306,                0.88814,                0.83604,                0.91112,                0.82997,                      1,                0.94117,                0.97469,                0.43581,                0.50962,                0.29761,                 1.1973,                 1.0712,               0.000218,               0.000218,               0.000218
                     48,                0.33338,                0.28855,                0.83912,                0.91804,                0.87352,                0.78947,                 0.9009,                0.81373,                0.93544,                0.94737,                0.97301,                0.46872,                0.50288,                0.29316,                 1.1395,                 1.0467,              0.0001784,              0.0001784,              0.0001784
                     49,                0.33799,                0.25128,                0.84266,                0.99873,                0.86971,                0.78947,                0.92118,                0.82286,                 0.9421,                0.94737,                0.97301,                 0.4964,                0.48701,                0.29261,                 1.1228,                 1.0234,              0.0001388,              0.0001388,              0.0001388
                     50,                0.35218,                0.26283,                0.82405,                0.90149,                0.86697,                0.78947,                0.92586,                0.83436,                0.94732,                0.94659,                0.97404,                0.49507,                0.48057,                0.29125,                 1.0967,                 1.0151,               9.92e-05,               9.92e-05,               9.92e-05
